,UMAP-x,UMAP-y,Player,Player-short,Color,file,fast,slow
0,-0.05481499,12.774177,- - - -,- - -,#90EE90,- - - - - 164183204.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwCB4VIjhvfU7BiYGKGiX2cTArKLIwPJ0nTbDFYulDO5SNgwMDPcZGF0YQ/4zqygy/L1zn4GBgYEBAAJyD8H2wKZcAAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0ZYv6z/D/H8PWh6cY/Ey8GBhdmMP/MzAwMDALCTD8ffOWgWnnk7MMzPx8DH/fvGVgYGBgYPI29WL4+/49AwwAABZrFHExwd8/AAAAAElFTkSuQmCC
1,3.2028885,0.8841769,- - - -,- - -,#90EE90,- - - - - 166251396.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8CMCoABZHuAO6THwACAAAAAP7Q1gDVzSAAFm7eAAH95yT/ONBUAA9K3AAAAAAAAks8UAA4F+AAAi4oAAAAAADdUhLdY4PyQwAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0tmr+/16Ti+Gt4T8G9TmfGJiYfv9lEDvwnOFe8EwGmVmPGFhu5bExMPwTZnCXMmBgYPjKwCS1iZWBhf0PAwwAAFAME9LVI8kNAAAAAElFTkSuQmCC
2,14.399405,4.8742642,- Love1yV1ruS -,- Lov,#696969,- Love1yV1ruS - - 111923499.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAQklEQVR4nGN0YQz5z8DAwHBvmQGD3BxmBiYGKPj7hp2ha+50BgbTmJ7/f5+r/HdhDPnvwhjyn8mvfD+D0pp0mEIGAH6pEskaQf9pAAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAA9FY4ABDM6AACAQQEAAAAAAAQzOgA/wgGAAIDFxYABBkYAOw7GQC2vKoAAv/4+AAACAcAk4KSADOAaQAgahFCAZn2IgAAAABJRU5ErkJggg==
3,12.2135105,2.585044,- Love1yV1ruS -,- Lov,#696969,- Love1yV1ruS - - 112347953.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAARElEQVR4nGN0YQz5z8DAwPAp0oJB4PonBhYGKFDMuclw/JYSA9M/e0OGnc8uMLy1fs+glnSOgemNDieDe0AsRNn//wwAfrsThC5TALIAAAAASUVORK5CYII=,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAS0lEQVR4nAXBsRFAQBRF0fs/Y8xaqwK5KjbSgubUQREiTcg3YiTmOcdmX4SEh4D1kRqJKiVsSKhtcIA7T+zHBuuLY0Y8L8r3MHaFHyP/EfOh1jobAAAAAElFTkSuQmCC
4,12.363479,1.3780886,- Nothing -,- Not,#556B2F,- Nothing - - 156637825.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAARUlEQVR4nGN0YQz5z8DAwMAsLsbw790HBiYGKNh2fhcDs4gQRGD9k1MM7lIGDP9//GRg9JAr+P+fl4vh7/XbDAz//zMAADhfFIm7x+kAAAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAANElEQVR4nGN0YQz5z4AEmOAMbm6EACMrG8P220cZ3iVZMrAwMDIy/P/9i8GyOINBeM1ZBgDxGgs8iQmQwQAAAABJRU5ErkJggg==
5,11.955173,6.570012,- Nothing -,- Not,#556B2F,- Nothing - - 159408487.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAAF8cOANqUKgAEAQUGAP/7+gDrZxoAyLiYAAL3SDAAAL0cAP7S2ABGU18AAefkGf86wmwAJYn3AP7S2ADqxRkpp+3SBQAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwMAiLcXAwMLMwMQABf8/f2Fg+PefgYmJm5uBgYmZ4UmKDsPWk1sYmP59/crAyMTIcLp4IoPi9hQGAMVlEH1+vZ8WAAAAAElFTkSuQmCC
6,9.111035,3.033305,- RNA -,- RNA,#008000,- RNA - - 138054999.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BBAQAuOLMACyRagACAQcHAP/8/AAujWoAvmyLAAHN4B3/iuZIAO077wAAAgMAAnPdVQD0/AcAAQUGAAD+/QAZVRdVhtr54QAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUcRY/8ABAQA9zQiAAni8QAE/vX3AP/9/QAJ3u4AAAEBAAIDGhcAAgsKAOFTFwCAuKcABP3o6gACEA8A1W2WAC7KXgANORZEp7I5TwAAAABJRU5ErkJggg==
7,9.170874,3.4757264,- RNA -,- RNA,#008000,- RNA - - 138055428.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAAc9zVAHqHZAACAQQEAAAAAAB2kmUAMWbSAAH95yT/UNtHAPc/6QABBAQAAjnRUwACAf4AAAEBAP/8/ACCpBP/i+2KHAAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASklEQVR4nGN0YQz5z8DEzPDHwYCB+fsfBiYGBgYGhv//GJh//GFg+v2XgYWBgYGBkYWVgbfzKcMixW0QASYhAYY1yrsYNI4kMwAAZ5kQ81GuXDYAAAAASUVORK5CYII=
8,14.013068,6.6788335,- SB DangYang -,- SB ,#6A5ACD,- SB DangYang - - 107503307.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8DFRUA8zwiAPsLAQACAAAAAP3r6wD1GAIA6kb6AAQEGBcAtc65AEcaAAD/AzoAAtiMGgBHGzEA4n86ABaUxgCJiRNby9z5fQAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQCVf8CCQkAAhEQAP/z9AAEAQYGAP74+QAAFA8AABEOAAQDERAA//z8ANduCwByOLsABP3v8AABJSEA30mcACGxZgB03RPyl72wagAAAABJRU5ErkJggg==
9,11.328268,5.1913176,--Madara uchiha,--Mad,#CD853F,--Madara uchiha - 141205080.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP//OS8AZKGwAJtjUgABRAFU/wAAAADghDkA2WKXAAA0Xo3/8eUc/0QBVP9HFWf/AbLdLP9/iGEAFcjvAP7U2ABe6BwQhpnA6wAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwMAsIszw981bBiYGKPj//QfDHydjBhZGFhYGRi0VhmdNjAwXzeYysDBLSzIwvP/CsNpwJYPipkIGACxVEUuO6Jr1AAAAAElFTkSuQmCC
