,UMAP-x,UMAP-y,Player,Player-short,Color,file,KDE,fast,slow
0,8.588736,-1.8159678,- - - -,- - -,#90EE90,- - - - - 164183204.osr,2.247706866490655e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwCB4VIjhvfU7BiYGKGiX2cTArKLIwPJ0nTbDFYulDO5SNgwMDPcZGF0YQ/4zqygy/L1zn4GBgYEBAAJyD8H2wKZcAAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0ZYv6z/D/H8PWh6cY/Ey8GBhdmMP/MzAwMDALCTD8ffOWgWnnk7MMzPx8DH/fvGVgYGBgYPI29WL4+/49AwwAABZrFHExwd8/AAAAAElFTkSuQmCC
1,7.1451287,2.6846938,- - - -,- - -,#90EE90,- - - - - 166251396.osr,2.266738346976257e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8CMCoABZHuAO6THwACAAAAAP7Q1gDVzSAAFm7eAAH95yT/ONBUAA9K3AAAAAAAAks8UAA4F+AAAi4oAAAAAADdUhLdY4PyQwAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0tmr+/16Ti+Gt4T8G9TmfGJiYfv9lEDvwnOFe8EwGmVmPGFhu5bExMPwTZnCXMmBgYPjKwCS1iZWBhf0PAwwAAFAME9LVI8kNAAAAAElFTkSuQmCC
2,-4.3854938,3.7637737,- Love1yV1ruS -,- Lov,#696969,- Love1yV1ruS - - 111923499.osr,3.6258381706626894e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAQklEQVR4nGN0YQz5z8DAwHBvmQGD3BxmBiYGKPj7hp2ha+50BgbTmJ7/f5+r/HdhDPnvwhjyn8mvfD+D0pp0mEIGAH6pEskaQf9pAAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAA9FY4ABDM6AACAQQEAAAAAAAQzOgA/wgGAAIDFxYABBkYAOw7GQC2vKoAAv/4+AAACAcAk4KSADOAaQAgahFCAZn2IgAAAABJRU5ErkJggg==
3,-3.1233144,1.5445262,- Love1yV1ruS -,- Lov,#696969,- Love1yV1ruS - - 112347953.osr,2.251876537366754e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAARElEQVR4nGN0YQz5z8DAwPAp0oJB4PonBhYGKFDMuclw/JYSA9M/e0OGnc8uMLy1fs+glnSOgemNDieDe0AsRNn//wwAfrsThC5TALIAAAAASUVORK5CYII=,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAS0lEQVR4nAXBsRFAQBRF0fs/Y8xaqwK5KjbSgubUQREiTcg3YiTmOcdmX4SEh4D1kRqJKiVsSKhtcIA7T+zHBuuLY0Y8L8r3MHaFHyP/EfOh1jobAAAAAElFTkSuQmCC
4,-4.098209,0.43909642,- Nothing -,- Not,#556B2F,- Nothing - - 156637825.osr,2.462079851162699e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAARUlEQVR4nGN0YQz5z8DAwMAsLsbw790HBiYGKNh2fhcDs4gQRGD9k1MM7lIGDP9//GRg9JAr+P+fl4vh7/XbDAz//zMAADhfFIm7x+kAAAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAANElEQVR4nGN0YQz5z4AEmOAMbm6EACMrG8P220cZ3iVZMrAwMDIy/P/9i8GyOINBeM1ZBgDxGgs8iQmQwQAAAABJRU5ErkJggg==
5,-5.8714075,2.9470923,- Nothing -,- Not,#556B2F,- Nothing - - 159408487.osr,1.4151337457854341e+51,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAAF8cOANqUKgAEAQUGAP/7+gDrZxoAyLiYAAL3SDAAAL0cAP7S2ABGU18AAefkGf86wmwAJYn3AP7S2ADqxRkpp+3SBQAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwMAiLcXAwMLMwMQABf8/f2Fg+PefgYmJm5uBgYmZ4UmKDsPWk1sYmP59/crAyMTIcLp4IoPi9hQGAMVlEH1+vZ8WAAAAAElFTkSuQmCC
6,-0.44344002,1.5408434,- RNA -,- RNA,#008000,- RNA - - 138054999.osr,9.635476192725635e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BBAQAuOLMACyRagACAQcHAP/8/AAujWoAvmyLAAHN4B3/iuZIAO077wAAAgMAAnPdVQD0/AcAAQUGAAD+/QAZVRdVhtr54QAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUcRY/8ABAQA9zQiAAni8QAE/vX3AP/9/QAJ3u4AAAEBAAIDGhcAAgsKAOFTFwCAuKcABP3o6gACEA8A1W2WAC7KXgANORZEp7I5TwAAAABJRU5ErkJggg==
7,-0.5596306,2.085579,- RNA -,- RNA,#008000,- RNA - - 138055428.osr,7.939608611625506e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAAc9zVAHqHZAACAQQEAAAAAAB2kmUAMWbSAAH95yT/UNtHAPc/6QABBAQAAjnRUwACAf4AAAEBAP/8/ACCpBP/i+2KHAAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASklEQVR4nGN0YQz5z8DEzPDHwYCB+fsfBiYGBgYGhv//GJh//GFg+v2XgYWBgYGBkYWVgbfzKcMixW0QASYhAYY1yrsYNI4kMwAAZ5kQ81GuXDYAAAAASUVORK5CYII=
8,-4.0968013,5.676454,- SB DangYang -,- SB ,#6A5ACD,- SB DangYang - - 107503307.osr,2.3743089618541465e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8DFRUA8zwiAPsLAQACAAAAAP3r6wD1GAIA6kb6AAQEGBcAtc65AEcaAAD/AzoAAtiMGgBHGzEA4n86ABaUxgCJiRNby9z5fQAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQCVf8CCQkAAhEQAP/z9AAEAQYGAP74+QAAFA8AABEOAAQDERAA//z8ANduCwByOLsABP3v8AABJSEA30mcACGxZgB03RPyl72wagAAAABJRU5ErkJggg==
9,-2.714975,2.9559317,--Madara uchiha,--Mad,#CD853F,--Madara uchiha - 141205080.osr,8.35185227126829e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP//OS8AZKGwAJtjUgABRAFU/wAAAADghDkA2WKXAAA0Xo3/8eUc/0QBVP9HFWf/AbLdLP9/iGEAFcjvAP7U2ABe6BwQhpnA6wAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwMAsIszw981bBiYGKPj//QfDHydjBhZGFhYGRi0VhmdNjAwXzeYysDBLSzIwvP/CsNpwJYPipkIGACxVEUuO6Jr1AAAAAElFTkSuQmCC
